Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2002-02-13 00:00:00-05:00,1.620128432409022,1.693349891934307,1.6032958650042581,1.691666603088379,76216000,0.0,0.0
2002-02-14 00:00:00-05:00,1.7127074631238086,1.716073880742533,1.670626199462424,1.6832505464553833,11021600,0.0,0.0
2002-02-15 00:00:00-05:00,1.6832504163818824,1.6874584782119295,1.6580017243470617,1.674834132194519,8389600,0.0,0.0
2002-02-19 00:00:00-05:00,1.666417795821863,1.666417795821863,1.5780472159401218,1.60750412940979,7410400,0.0,0.0
2002-02-20 00:00:00-05:00,1.6159206597904248,1.6622099876403809,1.6032961517156292,1.6622099876403809,6892800,0.0,0.0
2002-02-21 00:00:00-05:00,1.6563181342452165,1.6706257666040776,1.6411688575679233,1.65800142288208,6976800,0.0,0.0
2002-02-22 00:00:00-05:00,1.670626312357757,1.670626312357757,1.615920698006591,1.6285450458526611,3525600,0.0,0.0
2002-02-25 00:00:00-05:00,1.6243363857056468,1.653793296436526,1.6058206912166149,1.6411689519882202,3453600,0.0,0.0
2002-02-26 00:00:00-05:00,1.6327526688469336,1.6580015182707941,1.6066623355834684,1.6411689519882202,2761600,0.0,0.0
2002-02-27 00:00:00-05:00,1.6285449059067019,1.6293865504277538,1.5990879897790014,1.6117123365402222,4091200,0.0,0.0
2002-02-28 00:00:00-05:00,1.6159204133335903,1.6369610428794585,1.60750412940979,1.60750412940979,2751200,0.0,0.0
2002-03-01 00:00:00-05:00,1.6032955503078616,1.6453768000327633,1.5974042010307319,1.6302276849746704,1913600,0.0,0.0
2002-03-04 00:00:00-05:00,1.6369607965030042,1.6672591893303503,1.6344358635477088,1.65800142288208,3180800,0.0,0.0
2002-03-05 00:00:00-05:00,1.6495855479080128,1.6537936100129238,1.6125539913811335,1.6201286315917969,3444800,0.0,0.0
2002-03-06 00:00:00-05:00,1.6192871158528066,1.635278042072385,1.615920698006591,1.6285450458526611,1316800,0.0,0.0
2002-03-07 00:00:00-05:00,1.6285446237002636,1.7337477626921767,1.6285446237002636,1.718598484992981,2700800,0.0,0.0
2002-03-08 00:00:00-05:00,1.7084995257775588,1.7674133689536022,1.7084995257775588,1.7589970827102661,1600800,0.0,0.0
2002-03-11 00:00:00-05:00,1.7505804337845718,1.8010779802552812,1.7463723717983775,1.7817206382751465,5462400,0.0,0.0
2002-03-12 00:00:00-05:00,1.767413277044358,1.8431595282407993,1.767413277044358,1.7842458486557007,5819200,0.0,0.0
2002-03-13 00:00:00-05:00,1.7842451742935832,1.8094938616404614,1.737955700121321,1.7690958976745605,5063200,0.0,0.0
2002-03-14 00:00:00-05:00,1.7690959511874098,1.7842452282646781,1.7539466741101413,1.7674126625061035,1696800,0.0,0.0
2002-03-15 00:00:00-05:00,1.7674130089703497,1.775829293499473,1.6748342002045429,1.7127074003219604,1708000,0.0,0.0
2002-03-18 00:00:00-05:00,1.716915658041494,1.716915658041494,1.6032962052645456,1.624336838722229,2207200,0.0,0.0
2002-03-19 00:00:00-05:00,1.6369608296176326,1.6411688907676782,1.565422666376157,1.5738389492034912,3229600,0.0,0.0
2002-03-20 00:00:00-05:00,1.5612147498649418,1.5612147498649418,1.430762902387573,1.516608715057373,9236000,0.0,0.0
2002-03-21 00:00:00-05:00,1.5166085589071978,1.6201284138361614,1.5166085589071978,1.5780471563339233,4427200,0.0,0.0
2002-03-22 00:00:00-05:00,1.5780475093262434,1.6487440505862425,1.5578485204701427,1.624336838722229,2494400,0.0,0.0
2002-03-25 00:00:00-05:00,1.6411690813117645,1.6672594166311387,1.6142371015592154,1.6596847772598267,7571200,0.0,0.0
2002-03-26 00:00:00-05:00,1.683250600413889,1.6916668855214156,1.6647349015991593,1.6815673112869263,1816800,0.0,0.0
2002-03-27 00:00:00-05:00,1.6815673568954246,1.7674131783714446,1.674834360732244,1.733748197555542,1369600,0.0,0.0
